degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE IN BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,122,12,1114112,UNIVERSITY OF ELDORET,31.632,33.746,,26.588,26.246,26.235,17.459
BACHELOR OF SCIENCE IN BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,123,12,1240112,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,24.598,16.791,17.459
BACHELOR OF SCIENCE IN BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,124,12,1244112,KARATINA UNIVERSITY,36.452,25.547,,25.111,26.909,16.791,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,105,12,1176112,LAIKIPIA UNIVERSITY,,,,27.062,26.125,16.791,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,106,12,1685112,THARAKA UNIVERSITY COLLEGE,,,,,,16.791,
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,107,12,1057112,EGERTON UNIVERSITY,39.993,35.692,27.777,29.992,31.041,31.315,26.362
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,108,12,1073112,RONGO UNIVERSITY,32.879,27.858,,25.049,25.831,16.791,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,109,12,1082112,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,36.466,33.037,,26.464,26.253,25.573,26.117
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,110,12,1087112,KISII UNIVERSITY,34.98,30.465,,25.368,24.816,,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,111,12,1093112,UNIVERSITY OF EMBU,,24.662,,25.336,25.055,16.791,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,112,12,1105112,CHUKA UNIVERSITY,34.182,32.348,26.75,26.26,24.633,24.828,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,113,12,1111112,KENYATTA UNIVERSITY,42.284,38.171,26.954,33.9,36.331,34.012,33.576
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,114,12,1112112,TECHNICAL UNIVERSITY OF KENYA,39.959,35.457,27.865,30.986,33.682,29.939,32.888
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,115,12,1117112,PWANI UNIVERSITY,35.164,30.448,,26.013,27.697,26.872,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,116,12,1118112,UNIVERSITY OF KABIANGA,31.89,30.19,,27.905,27.201,16.791,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,117,12,1253112,MOI UNIVERSITY,41.972,37.409,29.568,24.886,29.665,29.265,28.838
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,118,12,1263112,UNIVERSITY OF NAIROBI,42.966,40.207,28.144,36.141,38.152,34.691,36.603
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,119,12,1515112,TOM MBOYA UNIVERSITY COLLEGE,,,,25.117,,,
BACHELOR OF SCIENCE (BSC.),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,230,20,1093120,UNIVERSITY OF EMBU,23.0,23.03,,23.798,25.465,16.791,17.459
BACHELOR OF SCIENCE (BSC.),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,231,20,1118120,UNIVERSITY OF KABIANGA,23.0,20.82,,24.741,24.745,16.791,17.459
BACHELOR OF SCIENCE (BSC.),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,232,20,1253120,MOI UNIVERSITY,30.84,23.162,23.984,23.825,23.751,16.791,17.459
"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,228,20,1229120,MASENO UNIVERSITY,26.72,23.501,23.457,23.502,24.261,16.791,17.459
"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,229,20,1515120,TOM MBOYA UNIVERSITY COLLEGE,,26.616,,22.882,25.047,16.791,17.459
BSC (SCIENCE),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,233,20,1240120,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,21.85,25.156,23.582,24.115,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,214,20,1057120,EGERTON UNIVERSITY,27.19,22.446,23.179,22.817,24.379,23.124,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,215,20,1061120,KABARAK UNIVERSITY,26.49,26.052,26.132,23.124,23.452,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,216,20,1079120,KIRINYAGA UNIVERSITY,,,,24.627,24.806,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,217,20,1096120,GARISSA UNIVERSITY,23.0,25.388,,23.82,24.386,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,218,20,1105120,CHUKA UNIVERSITY,27.55,22.319,24.075,23.606,23.317,22.533,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,219,20,1117120,PWANI UNIVERSITY,,,,,,,
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,220,20,1166120,SOUTH EASTERN KENYA UNIVERSITY,,,,,24.322,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,221,20,1244120,KARATINA UNIVERSITY,23.0,21.917,,23.293,23.926,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,222,20,1246120,MURANGA UNIVERSITY OF TECHNOLOGY,,26.959,25.371,24.307,22.635,16.791,17.459
BACHELOR OF SCIENCE,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,223,20,1685120,THARAKA UNIVERSITY COLLEGE,,,,22.674,25.511,16.791,17.459
BACHELOR OF SCIENCE (B.SC),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,224,20,1111120,KENYATTA UNIVERSITY,33.02,22.019,23.318,26.354,26.648,23.144,17.459
BACHELOR OF SCIENCE (B.SC),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,225,20,1114120,UNIVERSITY OF ELDORET,28.39,21.716,,23.2,23.133,16.791,17.459
BACHELOR OF SCIENCE (B.SC),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,226,20,1249120,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,31.64,22.149,22.994,23.521,23.24,23.231,17.459
BACHELOR OF SCIENCE (B.SC),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,227,20,1263120,UNIVERSITY OF NAIROBI,33.52,21.206,23.042,23.169,23.367,23.249,17.459
"BACHELOR OF SCIENCE(PHYSICS, BIOLOGY,CHEMISTRY,MATHEMATICS)",MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,234,20,1176120,LAIKIPIA UNIVERSITY,28.293,22.617,,23.766,23.806,16.791,17.459
BACHELOR OF ARTS IN PEACE AND CONFLICT STUDIES,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE,2016,460,1087662,KISII UNIVERSITY,,,,,24.664,25.617,22.926
BACHELOR OF ARTS IN PEACE AND CONFLICT STUDIES,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE,2017,460,1107662,ST PAULS UNIVERSITY,,,,,,24.909,22.926
"BACHELOR OF ARTS (SOCIOLOGY AND ANTHROPOLOGY, WITH IT)",ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,1919,420,1229606,MASENO UNIVERSITY,23.0,26.628,25.526,25.111,24.722,24.841,22.926
"BACHELOR OF ARTS (SOCIOLOGY AND ANTHROPOLOGY, WITH IT)",ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,1920,420,1515606,TOM MBOYA UNIVERSITY COLLEGE,,27.677,,25.095,25.097,24.999,22.926
BACHELOR OF JUSTICE AND PEACE,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE,1992,451,1480652,CATHOLIC UNIVERSITY OF EAST AFRICA,23.0,28.49,,25.98,24.352,24.999,22.926
BACHELOR OF ARTS IN ARABIC LANGUAGE,ENG,MAT A,HAG,BIO,ENG: C+,,RAF INTERNATIONAL UNIVERSITY,BACHELOR OF ARTS IN ARABIC LANGUAGE,2021,463,3895667,RAF INTERNATIONAL UNIVERSITY,,,,,,22.21,22.926
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,680,68,1073366,RONGO UNIVERSITY,23.0,23.447,,24.961,24.397,16.791,17.459
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,681,68,1087120,KISII UNIVERSITY,29.036,,,,,,
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,682,68,1093366,UNIVERSITY OF EMBU,23.0,23.76,,,,,
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,683,68,1096366,GARISSA UNIVERSITY,23.0,,,23.85,,,
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,684,68,1108366,KIBABII UNIVERSITY,23.0,23.54,24.373,22.053,23.305,16.791,17.459
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,685,68,1117366,PWANI UNIVERSITY,23.0,25.32,27.55,24.32,22.706,16.791,17.459
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,686,68,1165366,MAASAI MARA UNIVERSITY,27.532,24.491,24.821,22.857,23.039,16.791,17.459
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,687,68,1166366,SOUTH EASTERN KENYA UNIVERSITY,23.0,23.856,,24.034,24.822,,
BACHELOR OF SCIENCE (PHYSICS),MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,688,68,1480366,CATHOLIC UNIVERSITY OF EAST AFRICA,28.75,,,25.283,23.839,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),259,23,1073123,RONGO UNIVERSITY,,22.897,,26.068,23.564,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),260,23,1087123,KISII UNIVERSITY,,25.048,,29.6,28.017,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),261,23,1111123,KENYATTA UNIVERSITY,,32.195,,25.996,26.107,27.85,28.038
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),262,23,1116281,UZIMA UNIVERSITY,26.589,23.511,,34.433,30.275,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),263,23,1117123,PWANI UNIVERSITY,,23.915,,26.179,28.377,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),264,23,1118123,UNIVERSITY OF KABIANGA,34.891,24.445,,29.432,29.834,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),265,23,1165123,MAASAI MARA UNIVERSITY,,,,26.94,26.978,,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),266,23,1249123,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,30.749,29.419,26.333,28.878,26.687,25.51
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),267,23,1253123,MOI UNIVERSITY,,29.633,28.177,28.078,27.523,26.538,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),268,23,1600123,ALUPE UNIVERSITY COLLEGE,,24.91,,,,16.791,17.459
BACHELOR OF ARTS IN PEACE STUDIES AND CONFLICT RESOLUTION,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE,2023,465,1078669,AFRICA NAZARENE UNIVERSITY,,,,24.963,24.734,25.32,22.926
BACHELOR OF ARTS IN PEACE STUDIES AND CONFLICT RESOLUTION,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE,2024,465,1279669,MOUNT KENYA UNIVERSITY,23.0,29.265,,25.155,24.921,24.326,22.926
BACHELOR OF ARTS IN PEACE STUDIES AND CONFLICT RESOLUTION,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE,2025,465,1570669,TURKANA UNIVERSITY COLLEGE,,,,24.651,,22.21,22.926
BACHELOR OF FILM AND ANIMATION,ENG,MAT A,HAG,BIO,ARD: C+,,MOUNT KENYA UNIVERSITY,BACHELOR OF FILM AND ANIMATION STUDIES,2038,475,1164679,MULTIMEDIA UNIVERSITY OF KENYA,37.642,34.167,23.601,25.055,25.557,22.21,29.308
BACHELOR OF FILM AND ANIMATION STUDIES,ENG,MAT A,HAG,BIO,ARD: C+,,MOUNT KENYA UNIVERSITY,BACHELOR OF FILM AND ANIMATION STUDIES,2039,475,1279679,MOUNT KENYA UNIVERSITY,,24.956,,28.674,25.14,22.21,28.056
BACHELOR OF COUNSELING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY),2032,470,1279674,MOUNT KENYA UNIVERSITY,29.43,27.91,,24.238,24.233,24.318,24.265
BACHELOR OF COUNSELING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY),2033,470,1555674,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,,,,24.875,23.505,22.21,22.926
BACHELOR OF SOCIAL WORK AND ADMINISTRATION,ENG,MAT A,HAG,BIO,,,TURKANA UNIVERSITY COLLEGE,BACHELOR OF SOCIAL WORK,2066,481,1279685,MOUNT KENYA UNIVERSITY,23.0,28.404,,25.413,25.02,26.744,26.771
BACHELOR OF SOCIAL WORK AND ADMINISTRATION,ENG,MAT A,HAG,BIO,,,TURKANA UNIVERSITY COLLEGE,BACHELOR OF SOCIAL WORK,2067,481,1570685,TURKANA UNIVERSITY COLLEGE,,,,24.669,24.289,22.21,22.926
BACHELOR OF ARTS (SOCIOLOGY),ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2114,502,1073806,RONGO UNIVERSITY,23.0,26.37,,24.515,24.602,24.492,22.926
BACHELOR OF ARTS (SOCIOLOGY),ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2115,502,1117806,PWANI UNIVERSITY,23.0,26.065,,26.261,24.33,25.003,22.926
BACHELOR OF ARTS (SOCIOLOGY),ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2116,502,1165806,MAASAI MARA UNIVERSITY,23.0,26.245,26.026,25.606,25.03,24.117,22.926
BACHELOR OF SCIENCE IN PHYSICS,MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,691,68,1105170,CHUKA UNIVERSITY,,,,24.441,24.277,23.239,17.459
BACHELOR OF SCIENCE IN PHYSICS,MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,692,68,1240170,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,23.367,16.791,17.459
"BACHELOR OF SCIENCE (PHYSICS, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,689,68,1229170,MASENO UNIVERSITY,,,26.553,28.288,27.709,22.415,17.459
"BACHELOR OF SCIENCE (PHYSICS, WITH IT)",MAT A,BIO,BIO,BIO,MAT A: C,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,690,68,1515170,TOM MBOYA UNIVERSITY COLLEGE,,,,,,16.791,17.459
BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY,ENG,MAT A,HAG,BIO,ARD: C+,,KCA UNIVERSITY,BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY,2142,514,1103B55,KCA UNIVERSITY,,,,,,22.21,
BACHELOR OF ARTS IN SOCIOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2117,502,1063806,TECHNICAL UNIVERSITY OF MOMBASA,,,26.554,25.067,25.147,24.977,22.926
BACHELOR OF ARTS IN SOCIOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2118,502,1105806,CHUKA UNIVERSITY,,,,,,24.931,22.926
BACHELOR OF ARTS IN SOCIOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2119,502,1244806,KARATINA UNIVERSITY,23.0,,,27.354,24.375,25.819,22.926
BACHELOR OF ARTS IN SOCIOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2120,502,1279806,MOUNT KENYA UNIVERSITY,23.0,26.768,,25.617,24.766,25.142,22.926
BACHELOR OF ARTS IN SOCIOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN SOCIOLOGY,2121,502,1480806,CATHOLIC UNIVERSITY OF EAST AFRICA,23.0,27.794,,26.356,25.189,24.923,22.926
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1013,122,1082226,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,29.918,29.187,,24.796,25.324,16.791,17.459
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1014,122,1087226,KISII UNIVERSITY,28.172,28.279,,30.582,26.755,16.791,17.459
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1015,122,1111226,KENYATTA UNIVERSITY,39.101,34.45,,25.063,30.405,30.434,27.845
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1016,122,1117226,PWANI UNIVERSITY,,,,26.268,24.94,16.791,17.459
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1017,122,1240226,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,26.877,16.791,17.459
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1018,122,1249226,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,37.849,34.327,29.634,29.375,30.282,24.64,26.674
BACHELOR OF SCIENCE (BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOTECHNOLOGY),1019,122,1279226,MOUNT KENYA UNIVERSITY,,23.246,,27.117,25.351,16.791,17.459
BACHELOR OF SCIENCE IN MICROBIOLOGY AND BIOTECHNOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),1181,159,1105278,CHUKA UNIVERSITY,,,,27.721,24.529,16.791,17.459
BACHELOR OF TECHNOLOGY IN INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF TECHNOLOGY IN INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,1185,161,1063280,TECHNICAL UNIVERSITY OF MOMBASA,37.07,21.611,25.876,25.727,29.145,16.791,17.459
BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MICROBIOLOGY),1179,159,1093278,UNIVERSITY OF EMBU,34.499,22.303,,27.678,26.304,16.791,17.459
