degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),167,15,1063115,TECHNICAL UNIVERSITY OF MOMBASA,,,,,32.526,35.706,36.536
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),168,15,1080309,CO-OPERATIVE UNIVERSITY OF KENYA,,,25.995,29.726,31.679,34.636,36.09
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),169,15,1087115,KISII UNIVERSITY,33.336,34.566,33.106,24.726,26.915,30.016,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),170,15,1088115,GRETSA UNIVERSITY,29.19,26.923,24.848,24.733,25.12,25.737,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),171,15,1096115,GARISSA UNIVERSITY,23.0,23.191,,24.816,29.587,19.481,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),172,15,1107115,ST PAULS UNIVERSITY,28.611,24.756,24.18,24.513,24.546,25.751,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),173,15,1114115,UNIVERSITY OF ELDORET,37.35,37.775,33.789,33.258,35.134,35.334,32.922
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),174,15,1164115,MULTIMEDIA UNIVERSITY OF KENYA,42.761,40.518,39.928,39.435,40.414,40.844,41.049
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),175,15,1173115,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,40.976,38.72,38.182,35.012,37.924,38.603,38.87
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),176,15,1196115,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,29.13,25.74,,24.071,26.079,19.481,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),177,15,1240115,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,29.429,33.548,31.657,29.487,30.229,32.909,28.437
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),178,15,1244115,KARATINA UNIVERSITY,34.296,32.948,30.589,29.089,30.957,25.423,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),179,15,1249115,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,44.595,43.035,42.742,42.352,42.978,42.983,42.489
