programme_name,cluster,subcluster,subject_1,subject_1_grade,subject_2,subject_2_grade,subject_3,subject_3_grade,subject_4,subject_4_grade,programme_code,institution,key,institution_type,location,programme_name_code,pred_cutoff_2025
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1105134,CHUKA UNIVERSITY,CU,Public,THARAKA NITHI COUNTY,134,37.962984999999975
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1093134,UNIVERSITY OF EMBU,UOEM,Public,EMBU COUNTY,134,38.162029999999966
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1087134,KISII UNIVERSITY,KSU,Public,KISII COUNTY,134,38.4813749999999
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1061134,KABARAK UNIVERSITY,KABU,Private,NAKURU COUNTY,134,37.87400999999989
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1078134,AFRICA NAZARENE UNIVERSITY,ANU,Private,KAJIADO COUNTY,134,34.43941499999992
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1060134,RIARA UNIVERSITY,RU,Private,NAIROBI COUNTY,134,35.01459999999998
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1057134,EGERTON UNIVERSITY,EU,Public,NAKURU COUNTY,134,39.00964500000007
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1253134,MOI UNIVERSITY,MU,Public,UASIN GISHU COUNTY,134,34.033869999999986
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1166134,SOUTH EASTERN KENYA UNIVERSITY,SEKU,Public,KITUI COUNTY,134,31.97253000000002
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1162134,DAYSTAR UNIVERSITY,DAYSTAR,Private,MACHAKOS COUNTY,134,33.81156499999996
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1685134,THARAKA UNIVERSITY,THRKU,Public,THARAKA NITHI COUNTY,134,22.869889999999995
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1515134,TOM MBOYA UNIVERSITY,TMU,Public,HOMA BAY COUNTY,134,22.443630000000006
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1480134,CATHOLIC UNIVERSITY OF EASTERN AFRICA,CUEA,Private,NAIROBI COUNTY,134,36.07063499999999
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1279134,MOUNT KENYA UNIVERSITY,MKU,Private,KIAMBU COUNTY,134,39.791229999999985
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1263134,UNIVERSITY OF NAIROBI,UON,Public,NAIROBI COUNTY,134,40.75349000000001
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1249134,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,JKUAT,Public,KIAMBU COUNTY,134,40.32653499999992
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1111134,KENYATTA UNIVERSITY,KU,Public,NAIROBI COUNTY,134,40.801375000000036
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1500151,THE EAST AFRICAN UNIVERSITY,TEAU,Private,KAJIADO COUNTY,151,21.363395
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1090153,SCOTT CHRISTIAN UNIVERSITY,SCU,Private,MACHAKOS COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1077153,KENYA METHODIST UNIVERSITY,KEMU,Private,MERU COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1063153,TECHNICAL UNIVERSITY OF MOMBASA,TUM,Public,MOMBASA COUNTY,153,22.355640000000008
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1060153,RIARA UNIVERSITY,RU,Private,NAIROBI COUNTY,153,24.772949999999966
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1555153,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,KAGEU,Private,NAIROBI COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1119153,AFRICA INTERNATIONAL UNIVERSITY,AIU,Private,NAIROBI COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1107153,ST PAULS UNIVERSITY,SPU,Private,KIAMBU COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1240153,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,MUST,Public,MERU COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1196153,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,PUEA,Private,KIAMBU COUNTY,153,21.332360000000005
BACHELOR OF BUSINESS ADMINISTRATION,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1173153,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,DKUT,Public,NYERI COUNTY,153,21.375
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1093233,UNIVERSITY OF EMBU,UOEM,Public,EMBU COUNTY,233,21.375
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1111233,KENYATTA UNIVERSITY,KU,Public,NAIROBI COUNTY,233,21.375
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1580233,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,MNUC,Public,KIAMBU COUNTY,233,21.57078500000001
BACHELOR OF BUSINESS ADMINISTRATION IN WITH IT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1053153,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,JOOUST,Public,SIAYA COUNTY,153,21.375
BACHELOR OF BUSINESS ADMINISTRATION IN WITH IT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1515153,TOM MBOYA UNIVERSITY,TMU,Public,HOMA BAY COUNTY,153,21.371835
BACHELOR OF BUSINESS ADMINISTRATION IN WITH IT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1229153,MASENO UNIVERSITY,MSU,Public,KISUMU COUNTY,153,21.375
BACHELOR OF LIBRARY AND INFORMATION STUDIES,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1176233,LAIKIPIA UNIVERSITY,LU,Public,LAIKIPIA COUNTY,233,21.375
BACHELOR OF BUSINESS AND OFFICE MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1063154,TECHNICAL UNIVERSITY OF MOMBASA,TUM,Public,MOMBASA COUNTY,154,21.377200000000002
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1073150,RONGO UNIVERSITY,RNU,Public,MIGORI COUNTY,150,21.323915000000003
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1105233,CHUKA UNIVERSITY,CU,Public,THARAKA NITHI COUNTY,233,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1077150,KENYA METHODIST UNIVERSITY,KEMU,Private,MERU COUNTY,150,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1063150,TECHNICAL UNIVERSITY OF MOMBASA,TUM,Public,MOMBASA COUNTY,150,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1096150,GARISSA UNIVERSITY,GU,Public,GARISSA COUNTY,150,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1165150,MAASAI MARA UNIVERSITY,MMARAU,Public,NAROK COUNTY,150,21.379155
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1112150,TECHNICAL UNIVERSITY OF KENYA,TUK,Public,NAIROBI COUNTY,150,27.694024999999908
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1279150,MOUNT KENYA UNIVERSITY,MKU,Private,KIAMBU COUNTY,150,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1240150,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,MUST,Public,MERU COUNTY,150,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1253150,MOI UNIVERSITY,MU,Public,UASIN GISHU COUNTY,150,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1685233,THARAKA UNIVERSITY,THRKU,Public,THARAKA NITHI COUNTY,233,21.375
BACHELOR OF SCIENCE IN INFORMATION SCIENCE,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1249233,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,JKUAT,Public,KIAMBU COUNTY,233,24.749099999999995
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1096151,GARISSA UNIVERSITY,GU,Public,GARISSA COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1080151,CO-OPERATIVE UNIVERSITY OF KENYA,COPUK,Public,NAIROBI COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1079151,KIRINYAGA UNIVERSITY,KYU,Public,KIRINYAGA COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1073151,RONGO UNIVERSITY,RNU,Public,MIGORI COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,3895151,ISLAMIC UNIVERSITY OF KENYA,IUK,Private,NAIROBI COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1700151,BOMET UNIVERSITY COLLEGE,BUC,Public,BOMET COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1600151,ALUPE UNIVERSITY,AU,Public,BUSIA COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1570151,TURKANA UNIVERSITY COLLEGE,TRUC,Public,TURKANA COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1530151,MARIST INTERNATIONAL UNIVERSITY COLLEGE,MARIST,Private,NAIROBI COUNTY,151,21.36961
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1279151,MOUNT KENYA UNIVERSITY,MKU,Private,KIAMBU COUNTY,151,22.049165000000006
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1253151,MOI UNIVERSITY,MU,Public,UASIN GISHU COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1244151,KARATINA UNIVERSITY,KARU,Public,NYERI COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1169151,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,KHEU,Private,KERICHO COUNTY,151,21.378779999999995
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1114151,UNIVERSITY OF ELDORET,UOE,Public,UASIN GISHU COUNTY,151,21.375
BACHELOR OF BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1108151,KIBABII UNIVERSITY,KBBU,Public,BUNGOMA COUNTY,151,21.375
BACHELOR OF BUSINESS INFORMATION AND MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,,,,,,,
BACHELOR OF BUSINESS MANAGEMENT IN MARINE BUSINESS MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1253496,MOI UNIVERSITY,MU,Public,UASIN GISHU COUNTY,496,21.375
BACHELOR OF BUSINESS MANAGEMENT IN CIVIL AVIATION MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1253490,MOI UNIVERSITY,MU,Public,UASIN GISHU COUNTY,490,21.406675000000003
BACHELOR OF SCIENCE IN INFORMATION STUDIES,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,,,,,,,
BACHELOR OF ARTS IN BUSINESS STUDIES WITH IT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1515586,TOM MBOYA UNIVERSITY,TMU,Public,HOMA BAY COUNTY,586,21.448580000000003
BACHELOR OF SCIENCE IN RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1169148,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,KHEU,Private,KERICHO COUNTY,148,21.375
BACHELOR OF SCIENCE IN RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1111148,KENYATTA UNIVERSITY,KU,Public,NAIROBI COUNTY,148,24.59343000000006
BACHELOR OF SCIENCE IN INNOVATION TECHNOLOGY,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,,,,,,,
BACHELOR OF CO-OPERATIVE MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1105510,CHUKA UNIVERSITY,CU,Public,THARAKA NITHI COUNTY,510,21.375
BACHELOR OF CO-OPERATIVE MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1087510,KISII UNIVERSITY,KSU,Public,KISII COUNTY,510,21.410165000000006
BACHELOR OF CO-OPERATIVE MANAGEMENT,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1240510,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,MUST,Public,MERU COUNTY,510,22.571364999999986
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1105206,CHUKA UNIVERSITY,CU,Public,THARAKA NITHI COUNTY,206,22.443630000000006
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1103206,KCA UNIVERSITY,KCA,Private,NAIROBI COUNTY,206,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,2,2A,ENG/KIS,Null,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,C+,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV /,Null,1061206,KABARAK UNIVERSITY,KABU,Private,NAKURU COUNTY,206,21.541200000000007
