degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS AND RURAL DEVELOPMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE (AGRIBUSINESS),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF ARTS IN ANTHROPOLOGY,ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS IN ANTHROPOLOGY
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND TRADE,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SOCIAL WORK,ENG,MAT A,HAG,BIO,,,TURKANA UNIVERSITY COLLEGE,BACHELOR OF SOCIAL WORK
BACHELOR OF SCIENCE IN AGRIBUSINESS ECONOMICS AND FOOD INDUSTRY MANAGEMENT,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT)
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND ENTREPRENEURSHIP,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF ARTS (PSYCHOLOGY),ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF DEVELOPMENT STUDIES,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT),ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF ARTS COMMUNITY DEVELOPMENT,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF ARTS IN DEVELOPMENT STUDIES,ENG,MAT A,HAG,BIO,,,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT
BACHELOR OF ARTS IN SUSTAINABLE HUMAN DEVELOPMENT,ENG,MAT A,HAG,BIO,,,TANGAZA UNIVERSITY COLLEGE,BACHELOR OF ARTS IN SUSTAINABLE HUMAN DEVELOPMENT
BACHELOR OF ARTS IN CHILDCARE AND PROTECTION,ENG,MAT A,HAG,BIO,,,PWANI UNIVERSITY,BACHELOR OF ARTS IN CHILDCARE AND PROTECTION
BACHELOR OF ARTS IN CHILD AND YOUTH STUDIES,ENG,MAT A,HAG,BIO,,,PWANI UNIVERSITY,BACHELOR OF ARTS IN CHILDCARE AND PROTECTION
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY,ENG,MAT A,HAG,BIO,,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)
BACHELOR OF ARTS IN PHILOSOPHY,ENG,MAT A,HAG,BIO,,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN PHILOSOPHY
BACHELOR OF MANAGEMENT AND LEADERSHIP,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF ARTS IN PHILOSOPHY AND LEADERSHIP STUDIES,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
"BACHELOR OF ARTS (FINE ART, WITH IT)",ENG,MAT A,HAG,BIO,ARD: C+,,MASENO UNIVERSITY,"BACHELOR OF ARTS (FINE ART, WITH IT)"
BACHELOR OF ARTS IN TRANSLATION STUDIES,ENG,MAT A,HAG,BIO,ENG: C+,,ST PAULS UNIVERSITY,BACHELOR OF ARTS IN TRANSLATION STUDIES
"BACHELOR OF SCIENCE (GRAPHIC, COMMUNICATION AND ADVERTISING)",ENG,MAT A,HAG,BIO,ARD: C+,,KCA UNIVERSITY,BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY
BACHELOR OF ARTS IN LEADERSHIP AND MANAGEMENT,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF LEADERSHIP AND MANAGEMENT,ENG,MAT A,HAG,BIO,,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF ARTS (PEACE AND CONFLICT STUDIES),ENG,MAT A,HAG,BIO,,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF JUSTICE AND PEACE
BACHELOR OF ARTS (PHILOSOPHY),ENG,MAT A,HAG,BIO,,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN PHILOSOPHY
BACHELOR OF SCIENCE (BIOLOGY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE IN BIOLOGY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY
BACHELOR OF SCIENCE IN BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BIOCHEMISTRY,MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BIOCHEMISTRY),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY
BACHELOR OF SCIENCE (BSC.),MAT A,BIO,BIO,BIO,MAT A: C,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE
